노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,경도,위도
NODE,POINT(126.93638775422426 37.58213711275328),81943,0.0,,0,,,,,1141000000,서대문구,1141011800,홍은동,126.93638775422426,37.58213711275328
NODE,POINT(126.936312847548 37.58230184603733),81977,0.0,,0,,,,,1141000000,서대문구,1141011800,홍은동,126.936312847548,37.58230184603733
NODE,POINT(126.93606326237492 37.58160600001768),81979,0.0,,0,,,,,1141000000,서대문구,1141011800,홍은동,126.93606326237492,37.58160600001768
NODE,POINT(126.93606428002904 37.58041596823549),81983,0.0,,0,,,,,1141000000,서대문구,1141011800,홍은동,126.93606428002904,37.58041596823549
NODE,POINT(126.93631052948562 37.581647327109586),81984,0.0,,0,,,,,1141000000,서대문구,1141011800,홍은동,126.93631052948562,37.58164732710959
NODE,POINT(126.93081151241674 37.57809403929651),80898,0.0,,0,,,,,1141000000,서대문구,1141011800,홍은동,126.93081151241674,37.57809403929651
NODE,POINT(126.93630005265283 37.580443557986385),81989,0.0,,0,,,,,1141000000,서대문구,1141011800,홍은동,126.93630005265284,37.58044355798639
NODE,POINT(126.93599064785147 37.57909316134114),81996,0.0,,0,,,,,1141000000,서대문구,1141011700,연희동,126.93599064785148,37.57909316134114
NODE,POINT(126.9516629090682 37.58045533616007),83220,0.0,,0,,,,,1141000000,서대문구,1141011100,홍제동,126.9516629090682,37.58045533616007
NODE,POINT(126.95190432685509 37.58065682488542),83231,0.0,,0,,,,,1141000000,서대문구,1141011100,홍제동,126.95190432685509,37.58065682488542
NODE,POINT(126.94152002148884 37.59164797171306),82306,0.0,,0,,,,,1141000000,서대문구,1141011800,홍은동,126.94152002148884,37.59164797171306
NODE,POINT(126.96161262250972 37.568744024166506),72128,0.0,,0,,,,,1141000000,서대문구,1141010600,천연동,126.96161262250972,37.568744024166506
NODE,POINT(126.96187721927366 37.56857475877742),72130,0.0,,0,,,,,1141000000,서대문구,1141010600,천연동,126.96187721927366,37.56857475877742
NODE,POINT(126.96172773946556 37.56852436278002),72136,0.0,,0,,,,,1141000000,서대문구,1141010600,천연동,126.96172773946556,37.56852436278002
NODE,POINT(126.96175061625993 37.56876695424262),72144,0.0,,0,,,,,1141000000,서대문구,1141010600,천연동,126.96175061625992,37.56876695424262
NODE,POINT(126.95654640720761 37.55929979122851),71979,0.0,,0,,,,,1141000000,서대문구,1141011000,북아현동,126.9565464072076,37.55929979122851
NODE,POINT(126.95669016857553 37.55925865046805),71985,0.0,,0,,,,,1141000000,서대문구,1141011000,북아현동,126.95669016857552,37.55925865046805
NODE,POINT(126.95652386928332 37.558507950684),71990,0.0,,0,,,,,1141000000,서대문구,1141011000,북아현동,126.95652386928332,37.558507950684
NODE,POINT(126.96062864222404 37.570057315453845),72158,0.0,,0,,,,,1141000000,서대문구,1141010700,옥천동,126.96062864222404,37.570057315453845
NODE,POINT(126.96052515805907 37.5700160873892),72160,0.0,,0,,,,,1141000000,서대문구,1141010700,옥천동,126.96052515805908,37.5700160873892
NODE,POINT(126.9594262451501 37.57112336237943),72172,0.0,,0,,,,,1141000000,서대문구,1141010800,영천동,126.9594262451501,37.57112336237943
NODE,POINT(126.93094942806275 37.5702360125928),79661,0.0,,0,,,,,1141000000,서대문구,1141011700,연희동,126.93094942806276,37.5702360125928
NODE,POINT(126.92222206879278 37.57841196947577),79674,0.0,,0,,,,,1141000000,서대문구,1141012000,남가좌동,126.92222206879278,37.57841196947577
NODE,POINT(126.90843602687858 37.57220933873345),79715,2.0,,0,,,,,1141000000,서대문구,1141011900,북가좌동,126.90843602687858,37.57220933873345
NODE,POINT(126.90844132910284 37.5725755071145),79718,2.0,,0,,,,,1141000000,서대문구,1141011900,북가좌동,126.90844132910284,37.5725755071145
NODE,POINT(126.96211173900763 37.55966787348646),77460,0.0,,0,,,,,1141000000,서대문구,1141010200,충정로3가,126.96211173900764,37.55966787348646
NODE,POINT(126.95747368144835 37.55738443881913),77466,2.0,,0,,,,,1141000000,서대문구,1141011000,북아현동,126.95747368144836,37.55738443881913
NODE,POINT(126.9633438491462 37.56791154987505),77473,0.0,,0,,,,,1141000000,서대문구,1141010500,냉천동,126.9633438491462,37.56791154987505
NODE,POINT(126.96395700979998 37.5671825695),77482,0.0,,0,,,,,1141000000,서대문구,1141010500,냉천동,126.96395700979998,37.5671825695
NODE,POINT(126.96410318700116 37.56725268679333),77493,0.0,,0,,,,,1141000000,서대문구,1141010500,냉천동,126.96410318700116,37.56725268679333
NODE,POINT(126.96188763091394 37.559425216933484),77374,0.0,,0,,,,,1141000000,서대문구,1141010200,충정로3가,126.96188763091394,37.55942521693349
NODE,POINT(126.91762715287057 37.57052197308729),80401,0.0,,0,,,,,1141000000,서대문구,1141012000,남가좌동,126.91762715287057,37.57052197308729
NODE,POINT(126.91836443803534 37.57004570862598),80402,0.0,,0,,,,,1141000000,서대문구,1141012000,남가좌동,126.91836443803534,37.57004570862598
NODE,POINT(126.91847816855828 37.57011730370696),80403,0.0,,0,,,,,1141000000,서대문구,1141012000,남가좌동,126.91847816855828,37.57011730370696
NODE,POINT(126.91980728790111 37.57071895252528),80404,0.0,,0,,,,,1141000000,서대문구,1141012000,남가좌동,126.91980728790112,37.57071895252528
NODE,POINT(126.93506576863129 37.58121182947596),81421,0.0,,0,,,,,1141000000,서대문구,1141011800,홍은동,126.93506576863128,37.58121182947596
